rec-id,first_name,second_name,last_name,region,birth_date,personal_id
rec-0000-org,ZOFIA,MAJA,WALCZYK,ŚLĄSKIE,25/07/2001,SGF844791
rec-0001-org,MAJA,EMILIA,WĄSIK,MAŁOPOLSKIE,23/04/1944,TLS812403
rec-0002-org,WIKTORIA,MAŁGORZATA,ZALEWSKA,DOLNOŚLĄSKIE,05/12/1950,TJH243280
rec-0003-dup-0,LENA,KALIINA,MYCHALAK,MAZOWIECKIE,28/05/1919,MTN762673
rec-0003-org,LENA,KALINA,MICHALAK,MAZOWIECKIE,28/05/1991,MTN763673
rec-0004-org,MARIA,KLARA,ORŁOWSKA,ŚLĄSKIE,20/08/1957,WDJ399410
rec-0005-dup-0,RÓRZA,NATALIA,KÓZŁOWSKA,MAŁOPOLSKIE,,
rec-0005-org,RÓŻA,NATALIA,KOZŁOWSKA,MAŁOPOLSKIE,01/03/1947,XKF212665
rec-0006-dup-0,MAGDALENA,DANÓTA,AUGUSTYNYAK,,10/02/1975,HDR212138
rec-0006-org,MAGDALENA,DANUTA,AUGUSTYNIAK,MAZOWIECKIE,10/02/1957,HDR212138
rec-0007-org,BLANKA,MAGDALENA,WESOŁOWSKA,DOLNOŚLĄSKIE,29/12/1968,TNY597618
rec-0008-org,LENA,MARIA,NOWICKA,PODKARPACKIE,30/10/2003,CMF571110
rec-0009-org,NADIA,ALEKSANDRA,JUREK,MAŁOPOLSKIE,23/09/1979,HDA066628
rec-0010-org,ALEKSANDRA,DOMINIKA,ROŻEK,LUBELSKIE,09/06/1955,SPW825446
rec-0011-org,MARTYNA,ANNA,KMIECIK,MAZOWIECKIE,25/04/1965,ELA302561
rec-0012-org,LILIANA,MARIA,NOWAKOWSKA,WARMIŃSKO-MAZURSKIE,14/01/1976,HMN986166
rec-0013-org,GAJA,ANASTAZJA,RODAK,MAZOWIECKIE,06/03/2010,AHY218996
rec-0014-org,IGA,MAGDALENA,KWIECIEŃ,MAŁOPOLSKIE,21/07/1949,ZMC688829
rec-0015-org,MAJA,OTYLIA,DZIEDZIC,ŁÓDZKIE,14/02/1979,DNR412013
rec-0016-org,OLIWIA,BARBARA,BŁASZCZYK,WIELKOPOLSKIE,27/03/1980,PFY285414
rec-0017-org,ALICJA,GABRIELA,DOBRZAŃSKA,WARMIŃSKO-MAZURSKIE,08/04/1976,WWF752698
rec-0018-org,MIIA,BRONISŁAWA,MIELCZAREK,ŚWIĘTOKRZYSKIE,07/11/1969,GMR259757
rec-0019-org,ANIELA,LENA,NOWAK,ŚLĄSKIE,13/09/1960,SZZ943066
rec-0020-org,MAJA,MAGDALENA,MARKOWSKA,MAŁOPOLSKIE,07/06/1972,ZZC506283
rec-0021-org,EWA,WIKTORIA,LEWICKA,KUJAWSKO-POMORSKIE,27/08/1956,GLD277563
rec-0022-org,BARBARA,JULIA,ADAMUS,PODLASKIE,27/03/1964,RWR933755
rec-0023-org,ALEKSANDRA,ELIZA,BOROWSKA,WIELKOPOLSKIE,06/05/1951,MXF814511
rec-0024-org,ALICJA,ANNA,CZARNECKA,DOLNOŚLĄSKIE,22/10/1935,DKK423341
rec-0025-org,ALINA,DANUTA,BOROWSKA,KUJAWSKO-POMORSKIE,29/11/1956,LJL907920
rec-0026-dup-0,,ZOFYA,PASTERNAK,,24/03/1982,DATu70499
rec-0026-dup-1,ANNA,ZOFYA,puste,ŚWIĘTOKRZYSKIE,24/03/1928,DAT770e99
rec-0026-dup-2,,ŻOFIA,PASTERNAK,ŚWIĘTOKRZYSKIE,24/03/1928,
rec-0026-org,ANNA,ZOFIA,PASTERNAK,ŚWIĘTOKRZYSKIE,24/03/1982,DAT770499
rec-0027-org,ARIANA,WIKTORIA,STĘPIEŃ,LUBELSKIE,10/11/1984,LNR657399
rec-0028-org,MICHALINA,FRANCESCA,MORAWSKA,ŚLĄSKIE,09/09/1982,HEH671989
rec-0029-dup-0,JAGÓDA,ELŻBYETA,GRZELAK,PODKARPACKIE,,JKR104426
rec-0029-org,JAGODA,ELŻBIETA,GRZELAK,PODKARPACKIE,09/11/1992,JKR103426
rec-0030-dup-0,MIILENA,MAŁGORZATA,puste,,20/11/1903,WMS728566
rec-0030-dup-1,MILENA,MAŁGOŻATA,SKIIBA,WIELKOPOLSKIE,,
rec-0030-org,MILENA,MAŁGORZATA,SKIBA,WIELKOPOLSKIE,20/11/1930,WMS728566
rec-0031-org,EMMA,ŁUCJA,KARPIŃSKA,ZACHODNIOPOMORSKIE,30/04/1973,ARK650288
rec-0032-dup-0,NADIIA,YZABELA,WIIŚNIEWSKA,MAZOWIECKIE,20/08/1966,NXT99t739
rec-0032-org,NADIA,IZABELA,WIŚNIEWSKA,MAZOWIECKIE,20/08/1966,NXT996739
rec-0033-org,MARCELINA,KRYSTYNA,MICHALSKA,POMORSKIE,29/09/1961,YSK718215
rec-0034-org,NATALIA,ANTONINA,JAROSZ,PODKARPACKIE,05/02/1962,ZWG990311
rec-0035-org,MIA,KAMILA,PAWŁOWSKA,MAZOWIECKIE,14/09/1976,KTT618203
rec-0036-org,DIANA,LENA,KOKOSZKA,LUBUSKIE,03/06/1952,NDC727815
rec-0037-org,ROZALIA,LEOKADIA,SOSNOWSKA,MAZOWIECKIE,31/07/1974,PCR775889
rec-0038-org,ZUZANNA,MARIA,MIŚKIEWICZ,LUBELSKIE,23/01/1953,ZSG686368
rec-0039-org,ALICJA,ANNA,ORŁOWSKA,MAZOWIECKIE,09/12/1983,MPH633118
rec-0040-org,LENA,KARINA,ROGOWSKA,WARMIŃSKO-MAZURSKIE,15/07/1981,SNK483587
rec-0041-org,MARIA,MARIA,KAMIŃSKA,ŚLĄSKIE,01/07/1982,MSJ396827
rec-0042-org,MAJA,DAGMARA,BRZEZIŃSKA,ZACHODNIOPOMORSKIE,03/12/1967,LMH992428
rec-0043-dup-0,RÓZALIA,OLGA,MÓLENDA,,16/03/2011,RKG7u1093
rec-0043-org,ROZALIA,OLGA,MOLENDA,LUBELSKIE,16/03/2011,RKG771093
rec-0044-org,ŁUCJA,KLARA,PISZCZEK,POMORSKIE,24/11/1998,ECJ973778
rec-0045-org,LILIANA,IRENA,BOBER,ŚLĄSKIE,15/07/1960,CSA412090
rec-0046-dup-0,ZUŻANNA,WUCJA,DEBOWSKA,POMORSKIE,,DHS598862
rec-0046-dup-1,ZUZANNA,ŁÓCJA,DĘBOŁSKA,,28/03/1959,DHS598862
rec-0046-dup-2,ZUŻANNA,ŁUCJA,DĘBOŁSKA,POMORSKIE,,DHSt98862
rec-0046-org,ZUZANNA,ŁUCJA,DĘBOWSKA,POMORSKIE,28/03/1995,DHS598862
rec-0047-org,YELYZAVETA,BARBARA,ZIELONKA,WIELKOPOLSKIE,29/12/1932,WJZ087870
rec-0048-org,OLIWIA,BRYGIDA,KOWAL,PODKARPACKIE,05/08/1957,CSR868692
rec-0049-org,ZUZANNA,MARIA,MASŁOWSKA,LUBELSKIE,25/06/1954,FJS180966
rec-0050-org,MICHALINA,BEATA,GRZESIK,PODKARPACKIE,21/01/2002,CFH686028
rec-0051-dup-0,KLAÓDIA,WERONIKA,TZIEŚLAK,PODLASKIE,,ZPJ506w36
rec-0051-org,KLAUDIA,WERONIKA,CIEŚLAK,PODLASKIE,28/09/1990,ZPJ506336
rec-0052-org,SARA,ALICJA,KOZAK,WIELKOPOLSKIE,27/03/1962,RPC563901
rec-0053-org,ANTONINA,LILIANA,LIS,MAZOWIECKIE,29/07/1951,EXR399025
rec-0054-org,DALIDA,ZUZANNA,KOPEĆ,ŚLĄSKIE,14/07/1975,JCG499854
rec-0055-org,KORNELIA,KAJA,STAŃCZAK,MAZOWIECKIE,29/09/1980,AXC178870
rec-0056-org,GABRIELA,RITA,FILIPEK,ŚLĄSKIE,04/09/2019,FSK030024
rec-0057-org,MAJA,MARIA,LORENC,WIELKOPOLSKIE,17/07/1996,TTT904918
rec-0058-org,ZOFIA,WIKTORIA,WOŁOSZYN,ŚLĄSKIE,16/03/1991,PTD905272
rec-0059-org,NATALIA,KATARZYNA,WIECZOREK,LUBELSKIE,28/01/1981,ZYX312024
rec-0060-org,MILENA,JULITA,BĄK,DOLNOŚLĄSKIE,15/12/1958,FYL670373
rec-0061-dup-0,RUŻA,JULIIA,puste,LUBELSKIE,20/07/1955,LKC60154i
rec-0061-org,RÓŻA,JULIA,KUROWSKA,LUBELSKIE,20/07/1955,LKC601549
rec-0062-org,AMELIA,ANASTAZJA,NOWAK,MAZOWIECKIE,25/04/2017,EAZ733734
rec-0063-org,KORNELIA,ALICJA,GAŁKA,MAZOWIECKIE,24/10/1993,TDT908741
rec-0064-org,ZOFIA,HELENA,WIERZBICKA,MAŁOPOLSKIE,02/02/1971,ZTJ700073
rec-0065-dup-0,NADYA,BOŻENA,ŹIELIŃSKA,MAZOWIECKIE,,
rec-0065-org,NADIA,BOŻENA,ZIELIŃSKA,MAZOWIECKIE,30/01/1937,CCT005927
rec-0066-org,WIKTORIA,ANASTAZJA,JAWORSKA,ZACHODNIOPOMORSKIE,24/06/1972,TFX600649
rec-0067-org,ROZALIA,MICHALINA,BIAŁECKA,MAZOWIECKIE,06/11/1955,XEC089387
rec-0068-dup-0,LAÓRA,MARYA,KALYNOWSKA,ŚLĄSKIE,,GSL490772
rec-0068-dup-1,LAÓRA,MARIIA,KALINOWSKA,,14/06/1914,GSL490772
rec-0068-dup-2,LAÓRA,MARYA,puste,ŚLĄSKIE,14/06/1941,GSLe90772
rec-0068-dup-3,LAÓRA,MARIA,KALINÓWSKA,ŚLĄSKIE,14/06/1914,GSL490773
rec-0068-org,LAURA,MARIA,KALINOWSKA,ŚLĄSKIE,14/06/1941,GSL490772
rec-0069-org,DOMINIKA,WIKTORIA,MILEWSKA,WIELKOPOLSKIE,17/12/1974,YPR726036
rec-0070-org,TOLA,GABRIELA,GAŁECKA,ŚLĄSKIE,15/05/1948,ZPN639199
rec-0071-org,ALEKSANDRA,ELŻBIETA,KOŁODZIEJSKA,ŁÓDZKIE,18/09/1988,SHK138931
rec-0072-org,ZUZANNA,BARBARA,JASIŃSKA,MAŁOPOLSKIE,07/07/1988,WRY123715
rec-0073-org,ALEKSANDRA,MARIA,ZAREMBA,ŚWIĘTOKRZYSKIE,05/06/1968,PSL932301
rec-0074-org,LILIANA,TERESA,DĘBSKA,POMORSKIE,23/04/1934,AJE036916
rec-0075-org,LILIANNA,ANNA,NIEDZIELA,DOLNOŚLĄSKIE,28/11/2002,NCD064840
rec-0076-org,BARBARA,ANASTAZJA,MUSIAŁ,PODLASKIE,02/10/2010,DPN586301
rec-0077-org,ZOJA,JOANNA,SĘK,ŚLĄSKIE,17/02/1956,KRH819268
rec-0078-dup-0,,ANNA,NOWAKOVSKA,WARMIŃSKO-MAZURSKIE,19/02/1938,DRG904459
rec-0078-dup-1,NYNA,ANNA,puste,,19/02/1983,
rec-0078-dup-2,NIINA,ANNA,NOWAKÓWSKA,WARMIŃSKO-MAZURSKIE,,DRG004r59
rec-0078-org,NINA,ANNA,NOWAKOWSKA,WARMIŃSKO-MAZURSKIE,19/02/1983,DRG004459
rec-0079-org,OLIWIA,PAULINA,NOWAK,POMORSKIE,03/05/2012,DGX936259
rec-0080-org,MARTYNA,KAMILA,WRÓBLEWSKA,MAŁOPOLSKIE,04/09/1983,LMT769600
rec-0081-dup-0,VIKTORIA,MARYA,SKRYPEK,MAZOWIECKIE,,ZKP081674
rec-0081-dup-1,WIKTORIIA,MARIA,SKRYPEK,MAZOWIECKIE,19/04/1928,ZKP091674
rec-0081-org,WIKTORIA,MARIA,SKRZYPEK,MAZOWIECKIE,19/04/1982,ZKP081674
rec-0082-org,NATALIE,LAURA,KUREK,WIELKOPOLSKIE,16/10/2009,LNT532052
rec-0083-org,MAJA,ANIELA,OLSZEWSKA,LUBELSKIE,29/12/1979,ASW829193
rec-0084-org,ANNA,LILIANNA,OLSZEWSKA,MAZOWIECKIE,22/07/1981,APX669087
rec-0085-org,JULIA,KATARZYNA,PAPROCKA,MAZOWIECKIE,11/08/1947,GZF296265
