rec_id,first_name,second_name,last_name,region,birth_date,personal_id
rec-0000-org,ZOFIA,EUNIKA,ORŁOWSKA,ŚLĄSKIE,04/11/1989,SSC484020
rec-0001-dup-0,,MARIA,PAVELEC,WIELKOPOLSKIE,13/09/1964,GWT538386
rec-0001-org,ALICJA,MARIA,PAWELEC,WIELKOPOLSKIE,13/09/1946,GWT538386
rec-0002-org,DARIA,ANNA,BRZOZOWSKA,ŚLĄSKIE,30/09/2004,XGL676001
rec-0003-org,ŁUCJA,BARBARA,ŚLIWA,PODLASKIE,09/02/1963,CYR307551
rec-0004-org,MELANIA,MARIA,MADEJ,DOLNOŚLĄSKIE,22/05/1997,MSF140954
rec-0005-dup-0,HELEN,,SŻAFRAŃSKA,,16/03/1954,PDH482768
rec-0005-org,HELEN,JÓZEFA,SZAFRAŃSKA,DOLNOŚLĄSKIE,16/03/1954,PDH482768
rec-0006-dup-0,ALEKSANDRA,RENATA,LYS,,26/06/2002,ZLJ74512u
rec-0006-org,ALEKSANDRA,RENATA,LIS,POMORSKIE,26/06/2002,ZLJ745128
rec-0007-org,GABRIELA,BARBARA,CHMIELEWSKA,ŚLĄSKIE,10/08/1970,MAD513604
rec-0008-dup-0,ŻLATA,,MATYSIAK,,08/05/2000,YMT637775
rec-0008-org,ZLATA,JAGODA,MATYSIAK,ŚWIĘTOKRZYSKIE,08/05/2000,YMT637775
rec-0009-dup-0,AMELIA,,MAZUREK,,16/10/1919,WHJ065164
rec-0009-org,AMELIA,POLA,MAZUREK,ZACHODNIOPOMORSKIE,16/10/1991,WHJ065164
rec-0010-org,ZOJA,EWA,CYGAN,ŚLĄSKIE,16/03/2004,CEX172205
rec-0011-dup-0,KAMIIILA,LILIANNA,JABŁONSKA,WIELKOPOLSKIE,21/09/1968,ZXY271293
rec-0011-org,KAMILA,LILIANNA,JABŁOŃSKA,WIELKOPOLSKIE,21/09/1986,ZXY271293
rec-0012-dup-0,,RÓŻA,OLECH,LUBELSKIE,29/07/1919,NGD829321
rec-0012-org,HANNA,RÓŻA,OLECH,LUBELSKIE,29/07/1991,NGD929321
rec-0013-org,LILIANNA,AGATA,DRZEWIECKA,WIELKOPOLSKIE,12/12/1983,CDE686012
rec-0014-dup-0,BIIYANKA,,LESZCZYŃSKA,ZACHODNIOPOMORSKIE,12/02/1988,DAK19222r
rec-0014-org,BIANKA,KATARZYNA,LESZCZYŃSKA,ZACHODNIOPOMORSKIE,12/02/1988,DAK192225
rec-0015-org,ANIELA,KAROLINA,SKIBA,LUBUSKIE,24/12/2003,ZWE743928
rec-0016-org,IGA,AGATA,MIŚKIEWICZ,MAZOWIECKIE,01/01/1983,HJY683939
rec-0017-org,ROZALIA,PAULINA,URBANIAK,MAZOWIECKIE,27/11/1981,KXH993294
rec-0018-org,OLGA,AGNIESZKA,SZCZEPAŃSKA,MAZOWIECKIE,15/10/1983,XLY872904
rec-0019-org,HELENA,MAŁGORZATA,SZELĄG,MAŁOPOLSKIE,04/09/1962,KDK274990
rec-0020-dup-0,MAJA,OLIWIA,MAKOVSKA,ŚLĄSKIE,08/01/1908,
rec-0020-org,MAJA,OLIWIA,MAKOWSKA,ŚLĄSKIE,08/01/1980,KTW478217
rec-0021-org,ZLATA,KINGA,KOLASIŃSKA,POMORSKIE,26/01/1928,FNJ202502
rec-0022-org,ALICJA,ZOFIA,GŁĄB,POMORSKIE,10/03/1977,SDC045707
rec-0023-dup-0,ANTONINA,,JAROS,ŚLĄSKIE,01/03/1957,
rec-0023-org,ANTONINA,MAGDALENA,JAROS,ŚLĄSKIE,01/03/1975,RCN805245
rec-0024-org,KAMILA,WIKTORIA,STĘPIEŃ,ŁÓDZKIE,06/10/2007,AWM299772
rec-0025-org,DALIA,ESTERA,OSTROWSKA,MAZOWIECKIE,24/02/1956,SNX471222
rec-0026-org,MIA,REGINA,ZAJĄC,ZACHODNIOPOMORSKIE,25/03/1956,JXJ813410
rec-0027-dup-0,MARIIA,ZOFIA,WITKOWSKA,,16/01/1990,SKX67661e
rec-0027-org,MARIA,ZOFIA,WITKOWSKA,WARMIŃSKO-MAZURSKIE,16/01/1990,SKX676613
rec-0028-org,NATALIA,GABRIELA,ZASADA,LUBELSKIE,14/08/1979,SCH381168
rec-0029-org,FAUSTYNA,JADWIGA,WOŹNIAK,POMORSKIE,16/08/1959,NXJ851395
rec-0030-dup-0,,,SUŁKOWSKA,POMORSKIE,22/09/1990,LTT940883
rec-0030-org,MAJA,ANNA,SUŁKOWSKA,POMORSKIE,22/09/1990,LTT940893
rec-0031-org,JOANNA,ADRIANNA,KAPUSTA,WIELKOPOLSKIE,21/12/1959,MSP778838
rec-0032-org,ANTONINA,AGNIESZKA,JAMRÓZ,WARMIŃSKO-MAZURSKIE,30/06/1997,WRY822544
rec-0033-dup-0,ADELA,PATRYCJA,GAŁEŁ,KUJAWSKO-POMORSKIE,25/02/1938,TYX697267
rec-0033-org,ADELA,PATRYCJA,GAWEŁ,KUJAWSKO-POMORSKIE,25/02/1983,TYX607267
rec-0034-org,EMILIA,ZUZANNA,ROMAN,DOLNOŚLĄSKIE,23/04/1999,HAW480616
rec-0035-org,IGA,ZUZANNA,MAKOWSKA,PODLASKIE,23/06/1968,NXN514456
rec-0036-org,ZOFIA,EWA,KWIATKOWSKA,ŚWIĘTOKRZYSKIE,06/08/1991,THH312715
rec-0037-org,HANNA,OLIWIA,KALETA,ŚLĄSKIE,04/09/1976,LGH675404
rec-0038-org,MICHELLE,EWA,NOWAKOWSKA,MAŁOPOLSKIE,16/07/1982,JNS391692
rec-0039-dup-0,NIIKOL,BOŻENA,SZYMCŻYK,,03/08/1974,JKP527990
rec-0039-org,NIKOL,BOŻENA,SZYMCZYK,PODKARPACKIE,03/08/1974,JKP527990
rec-0040-org,CELINA,WERONIKA,WIECZOREK,KUJAWSKO-POMORSKIE,26/01/1999,ZCN953371
rec-0041-org,MARCELINA,DOROTA,SKÓRA,MAŁOPOLSKIE,16/04/1992,TSE706019
rec-0042-org,HANNA,ANNA,JABŁOŃSKA,PODKARPACKIE,04/12/1945,JNW828895
rec-0043-org,LAURA,ANNA,GUTOWSKA,WIELKOPOLSKIE,07/10/1956,ZEN094043
